entry_time,exit_time,direction,entry_price,exit_price,sl,tp,pnl,result
2025-12-01 00:00:00,2025-12-02 12:00:00,SHORT,2828.03,2910.4890971589875,2910.4890971589875,2652.117259394161,-78.41781217588964,LOSS
2026-01-29 12:00:00,2026-01-30 16:00:00,SHORT,2823.76,2639.830387167416,2909.977006015274,2639.830387167416,156.08362021069627,WIN
2026-02-15 20:00:00,2026-02-18 08:00:00,SHORT,1966.26,2036.4458688032785,2036.4458688032785,1816.5301465530058,-116.5305198795305,LOSS
2026-02-27 20:00:00,2026-03-01 00:00:00,SHORT,1929.51,2002.7176062485005,2002.7176062485005,1773.3337733365324,-83.26839473329743,LOSS
